xml_prefix	data_product_id                                       	mission_name                                                                                             	mission_name_acronym     	instrument                                                                                                                                                                               	instrument_acronym                                 	instrument_detail                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                           	processing_level  	processing_level_acronym	time_resolution                	relative_stop_date	hyphen	pi_name                                                                                                	pi_institution                                                                                                                                                                                                                      	xml_suffix
<20240118>	IBEX_H3_ENA_HI_R02_CG_NOSP_OMNI_6MO                  	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 02, Compton-Getting corrected, not Survival Probability corrected, Omnidirectional, West Longitude Ecliptic Maps	Level H3          	(H3)              	6 month                                          		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R02_NOCG_NOSP_OMNI_6MO                	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 02, not Compton-Getting corrected, not Survival Probability corrected, Omnidirectional, West Longitude Ecliptic Maps	Level H3          	(H3)              	6 month                                          		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R04_CG_NOSP_ANTIRAM_1YR               	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 04, Compton-Getting corrected, not Survival Probability corrected, Antiram direction, West Longitude Ecliptic Maps	Level H3          	(H3)              	1 year                                           		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R04_CG_NOSP_OMNI_6MO                  	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 04, Compton-Getting corrected, not Survival Probability corrected, Omnidirectional, West Longitude Ecliptic Maps	Level H3          	(H3)              	6 month                                          		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R04_CG_NOSP_RAM_1YR                   	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 04, Compton-Getting corrected, not Survival Probability corrected, Ram direction, West Longitude Ecliptic Maps	Level H3          	(H3)              	1 year                                           		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R04_CG_SP_ANTIRAM_1YR                 	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 04, Compton-Getting corrected, Survival Probability corrected, Antiram direction, West Longitude Ecliptic Maps	Level H3          	(H3)              	1 year                                           		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R04_CG_SP_OMNI_6MO                    	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 04, Compton-Getting corrected, Survival Probability corrected, Omnidirectional, West Longitude Ecliptic Maps	Level H3          	(H3)              	6 month                                          		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R04_CG_SP_RAM_1YR                     	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 04, Compton-Getting corrected, Survival Probability corrected, Ram direction, West Longitude Ecliptic Maps	Level H3          	(H3)              	1 year                                           		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R04_NOCG_NOSP_ANTIRAM_1YR             	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 04, not Compton-Getting corrected, not Survival Probability corrected, Antiram direction, West Longitude Ecliptic Maps	Level H3          	(H3)              	1 year                                           		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
<20240118>	IBEX_H3_ENA_HI_R04_NOCG_NOSP_OMNI_3YR                	Interstellar Boundary Explorer                                                                           	IBEX                     	High Energy Neutral Atom Imager                                                                                                                                                          	Hi                                                 	Data Release 04, not Compton-Getting corrected, not Survival Probability corrected, Omnidirectional, West Longitude Ecliptic Maps	Level H3          	(H3)              	3 year                                           		-     	D.J. McComas                                                                                           	(Princeton University, Princeton Plasma Physics Laboratory, PPPL)                                                                                                                                                                   	</20240118>
