MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	cdf_metadata_type	character_num	dimension	cdf_variable_type	OOOOO	data_product_name	parameter_key	units	units_conversion	name	description	measurement_type	parameter_keyword	type	quantity	qualifier	instrument_id_000	instrument_id_001	coordinate_system_name	coordinate_representation	element__name_0	element__name_1	element__name_2	element__name_3
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_EPOCH	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	epoch	s		EPOCH	Spacecraft event time for this data record (UTC Epoch time from 01-Jan-0000 00:00:00.000 without leap seconds), one element per ion distribution (NUM_DISTS elements)		support_data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Electron_density	cm^-3		Electron Density	Electron density (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Electron_density_min	cm^-3		Electron Density min	---&gt; Electron density min (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Electron_density_max	cm^-3		Electron Density max	---&gt; Electron density max (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Electron_temperature	&#176;K		Electron Temperature	Electron temperature (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Electron_temperature_min	&#176;K		Electron Temperature min	---&gt; Electron temperature min (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Electron_temperature_max	&#176;K		Electron Temperature max	---&gt; Electron temperature max (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Spacecraft_potential	V		Spacecraft Potential	Spacecraft potential (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Spacecraft_potential_min	V		Spacecraft Potential min	---&gt; Spacecraft potential min (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_Spacecraft_potential_max	V		Spacecraft Potential max	---&gt; Spacecraft potential max (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_E_field_wave_power_2_100	(V/m)^2/Hz		E-fld wav pow 2-100	E-field wave power 2-100 Hz (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_E_field_wave_power_2_100_data_quality			E-fld wave pow 2-100Hz DQ	---&gt; E-field wave power 2-100 Hz data quality (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_E_field_wave_power_100_800	(V/m)^2/Hz		E-fld wave pow 100-800Hz	E-field wave power 100-800 Hz (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_E_field_wave_power_100_800_data_quality			E-fld wave pow 100-800Hz DQ	---&gt; E-field wave power 100-800 Hz data quality (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_E_field_wave_power_800_1000	(V/m)^2/Hz		E-fld wav pow 800-1000	E-field wave power 800-1000 Hz (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_E_field_wave_power_800_1000_data_quality			E-fld wave pow 800-1000Hz DQ	---&gt; E-field wave power 800-1000 Hz data quality (LPW)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_EUV_irradiance_pt1_7	W m^-2		EUV irrad 0.1-7.0 nm	EUV irradiance wave power 0.1-7.0 nm bandpass (LPW-EUV)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_EUV_irradiance_pt1_7_data_quality			EUV irradiance 0.1-7.0 DQ	---&gt; EUV irradiance wave power 0.1-7.0 nm data quality (LPW-EUV)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_EUV_irradiance_17_22	W m^-2		EUV irradiance 17-22 nm	EUV irradiance wave power 17-22 nm bandpass (LPW-EUV)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_EUV_irradiance_17_22_data_quality			EUV irradiance 17-22 DQ	---&gt; EUV irradiance wave power 17-22 nm data quality (LPW-EUV)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_EUV_irradiance_lyman_alpha	W m^-2		EUV irradiance Lyman-alpha	EUV irradiance wave power Lyman-alpha bandpass (LPW-EUV)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	LPW_EUV_irradiance_lyman_alpha_data_quality			EUV irradiance Lyman-alpha DQ	---&gt; EUV irradiance wave power Lyman-alpha data quality (LPW-EUV)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_density	cm^-3		Electron Density	Solar wind electron density (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_density_quality	cm^-3		Electron Density DQ	---&gt; Solar wind electron density data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_temperature	eV		Electron Temperature	Solar wind electron temperature (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_temperature_quality	eV		Electron Temperature DQ (SWEA)	---&gt; Solar wind electron temperature data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_parallel_flux_5_100	eV/(cm^2 s sr)		electron energy flux parr 5-100	Electron energy flux parallel 5-100 eV (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_parallel_flux_5_100_data_quality	eV/(cm^2 s sr)		electron eflux parl 5-100eV DQ	---&gt; Electron energy flux parallel 5-100 eV data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_parallel_flux_100_500	eV/(cm^2 s sr)		electron energy flux parr 100-500	Electron energy flux parallel 100-500 eV (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_parallel_flux_100_500_data_quality	eV/(cm^2 s sr)		electron energy flux parr 100-500	---&gt; Electron energy flux parallel 100-500 eV data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_parallel_flux_500_1000	eV/(cm^2 s sr)		electron energy flux parr 500-1000	Electron energy flux parallel 500-1000 eV (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_parallel_flux_500_1000_data_quality	eV/(cm^2 s sr)		electron energy flux parr 500-1000	---&gt; Electron energy flux parallel 500-1000 eV data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_anti_parallel_flux_5_100	eV/(cm^2 s sr)		electron energy flux parr 5-100	Electron energy flux anti-parallel 5-100 eV (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_anti_parallel_flux_5_100_data_quality	eV/(cm^2 s sr)		electron energy flux parr 5-100	---&gt; Electron energy flux anti-parallel 5-100 eV data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_anti_parallel_flux_100_500	eV/(cm^2 s sr)		electron energy flux parr 100-500	Electron energy flux anti-parallel 100-500 eV (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_anti_parallel_flux_100_500_data_quality	eV/(cm^2 s sr)		electron energy flux parr 100-500	---&gt; Electron energy flux anti-parallel 100-500 eV data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_anti_parallel_flux_500_1000	eV/(cm^2 s sr)		electron energy flux parr 500-1000	Electron energy flux anti-parallel 500-1000 eV (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_anti_parallel_flux_500_1000_data_quality	eV/(cm^2 s sr)		electron energy flux parr 500-1000	---&gt; Electron energy flux anti-parallel 500-1000 eV data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_spectrum_shape			Electron spectrum shape	Electron spectrum shape parameter (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWEA_Electron_spectrum_shape_data_quality			Electron spectrum shape parm DQ	---&gt; Electron spectrum shape parameter data quality (SWEA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWIA_Hplus_density	cm^-3		H+ density	Total ion density from onboard moment calculation, assuming 100% protons (SWIA)		data											
MASTERS_20230915/mvn_insitu_kp-4sec_00000000_v01.txt:Astro	CDF_FLOAT	1	0:[]	T/	OOOOO	mvn_insitu_kp-4sec	SWIA_Hplus_density_data_quality			H+ density DQ	---&gt; Total ion density data quality (SWIA)		data											
